# Throughput Monitoring Output
# Format: timestamp(ns),nodeType(0=host/1=switch),nodeId,portId,deltaTxBytes,deltaRxBytes,txThroughputMbps,rxThroughputMbps
2001074000,1,2,2,3168,180,8448.00,480.00
2001077000,1,2,1,180,3168,480.00,8448.00
2001077000,1,2,2,3168,180,8448.00,480.00
2001080000,1,2,1,180,3168,480.00,8448.00
2001080000,1,2,2,3168,180,8448.00,480.00
2001083000,1,2,1,180,3168,480.00,8448.00
2001083000,1,2,2,3168,180,8448.00,480.00
2001086000,1,2,1,180,3168,480.00,8448.00
2001086000,1,2,2,3168,180,8448.00,480.00
2001089000,1,2,1,180,3168,480.00,8448.00
2001089000,1,2,2,3168,180,8448.00,480.00
2001092000,1,2,1,180,3168,480.00,8448.00
2001092000,1,2,2,3168,180,8448.00,480.00
2001095000,1,2,1,180,3168,480.00,8448.00
2001095000,1,2,2,3168,180,8448.00,480.00
2001098000,1,2,1,180,3168,480.00,8448.00
2001098000,1,2,2,3168,180,8448.00,480.00
2001101000,1,2,1,180,3168,480.00,8448.00
2001101000,1,2,2,3168,180,8448.00,480.00
2001104000,1,2,1,180,3168,480.00,8448.00
2001104000,1,2,2,3168,180,8448.00,480.00
2001107000,1,2,1,180,3168,480.00,8448.00
2001107000,1,2,2,3168,180,8448.00,480.00
2001110000,1,2,1,180,3168,480.00,8448.00
2001110000,1,2,2,3168,180,8448.00,480.00
2001113000,1,2,1,180,4224,480.00,11264.00
2001113000,1,2,2,4224,180,11264.00,480.00
2001116000,1,2,1,180,3168,480.00,8448.00
2001116000,1,2,2,3168,180,8448.00,480.00
2001119000,1,2,1,240,3168,640.00,8448.00
2001119000,1,2,2,3168,240,8448.00,640.00
2001122000,1,2,1,180,3168,480.00,8448.00
2001122000,1,2,2,3168,180,8448.00,480.00
2001125000,1,2,1,180,3168,480.00,8448.00
2001125000,1,2,2,3168,180,8448.00,480.00
2001128000,1,2,1,180,4224,480.00,11264.00
2001128000,1,2,2,4224,180,11264.00,480.00
2001131000,1,2,1,240,3168,640.00,8448.00
2001131000,1,2,2,3168,240,8448.00,640.00
2001134000,1,2,1,180,3168,480.00,8448.00
2001134000,1,2,2,3168,180,8448.00,480.00
2001137000,1,2,1,180,4224,480.00,11264.00
2001137000,1,2,2,4224,180,11264.00,480.00
2001140000,1,2,1,240,3168,640.00,8448.00
2001140000,1,2,2,3168,240,8448.00,640.00
2001143000,1,2,1,180,4224,480.00,11264.00
2001143000,1,2,2,4224,180,11264.00,480.00
2001146000,1,2,1,180,3168,480.00,8448.00
2001146000,1,2,2,3168,180,8448.00,480.00
2001149000,1,2,1,240,3168,640.00,8448.00
2001149000,1,2,2,3168,240,8448.00,640.00
2001152000,1,2,1,180,4224,480.00,11264.00
2001152000,1,2,2,4224,180,11264.00,480.00
2001155000,1,2,1,240,3168,640.00,8448.00
2001155000,1,2,2,3168,240,8448.00,640.00
2001158000,1,2,1,180,4224,480.00,11264.00
2001158000,1,2,2,4224,180,11264.00,480.00
2001161000,1,2,1,240,4224,640.00,11264.00
2001161000,1,2,2,4224,240,11264.00,640.00
2001164000,1,2,1,180,3168,480.00,8448.00
2001164000,1,2,2,3168,180,8448.00,480.00
2001167000,1,2,1,240,4224,640.00,11264.00
2001167000,1,2,2,4224,240,11264.00,640.00
2001170000,1,2,1,240,3168,640.00,8448.00
2001170000,1,2,2,3168,240,8448.00,640.00
2001173000,1,2,1,180,4224,480.00,11264.00
2001173000,1,2,2,4224,180,11264.00,480.00
2001176000,1,2,1,240,4224,640.00,11264.00
2001176000,1,2,2,4224,240,11264.00,640.00
2001179000,1,2,1,240,3168,640.00,8448.00
2001179000,1,2,2,3168,240,8448.00,640.00
2001182000,1,2,1,180,4224,480.00,11264.00
2001182000,1,2,2,4224,180,11264.00,480.00
2001185000,1,2,1,240,4224,640.00,11264.00
2001185000,1,2,2,4224,240,11264.00,640.00
2001188000,1,2,1,240,3168,640.00,8448.00
2001188000,1,2,2,3168,240,8448.00,640.00
2001191000,1,2,1,240,4224,640.00,11264.00
2001191000,1,2,2,4224,240,11264.00,640.00
2001194000,1,2,1,180,4224,480.00,11264.00
2001194000,1,2,2,4224,180,11264.00,480.00
2001197000,1,2,1,240,4224,640.00,11264.00
2001197000,1,2,2,4224,240,11264.00,640.00
2001200000,1,2,1,240,4224,640.00,11264.00
